자전거보관소명,소재지도로명주소,소재지지번주소,위도,경도,보관대수,설치년도,설치형태,차양막설치여부,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
주공4차,충청남도 공주시 신금2길 48,충청남도 공주시 신관동 19,36.4729069535,127.1436159934,422,,거치형,Y,N,,N,041-881-7005,아파트관리사무소,2019-09-25,4500000,충청남도 공주시
주공3차,충청남도 공주시 신금1길 30-3,충청남도 공주시 신관동 24-64,36.4770232285,127.1438065880,40,,거치형,Y,N,,N,041-853-3453,아파트관리사무소,2019-09-25,4500000,충청남도 공주시
향청리 주차장,전라남도 화순군 화순읍 향청리 106,전라남도 화순군 화순읍 향청리 106,35.062525,126.986857,10,,단독형,Y,N,,N,061-379-3632,전라남도 화순군청,2019-10-08,4900000,전라남도 화순군
공공도서관 주차장,전라남도 화순군 화순읍 쌍충로 110,전라남도 화순군 화순읍 교리 212-1,35.061735,126.981133,20,,휀스형,Y,N,,N,061-379-3632,전라남도 화순군청,2019-10-08,4900000,전라남도 화순군
화순초 창고옆,전라남도 화순군 화순읍 동헌길 9-20,전라남도 화순군 화순읍 훈리 27,35.064898,126.985417,27,,휀스형,Y,N,,N,061-379-3632,전라남도 화순군청,2019-10-08,4900000,전라남도 화순군
동구리 저수지 위 공원,전라남도 화순군 화순읍 동구리 123,전라남도 화순군 화순읍 동구리 123,35.078387,126.985901,10,,단독형,Y,N,,N,061-379-3632,전라남도 화순군청,2019-10-08,4900000,전라남도 화순군
만연사 입구 주차장,전라남도 화순군 화순읍 진각로 357-6,전라남도 화순군 화순읍 동구리 168-10,35.081802,126.983990727,10,,단독형,Y,N,,N,061-379-3632,전라남도 화순군청,2019-10-08,4900000,전라남도 화순군
전남 기술 과학고 본관뒤,전라남도 화순군 화순읍 실고길 45,전라남도 화순군 화순읍 신기리 60,35.072487,126.993137,21,,휀스형,Y,N,,N,061-379-3632,전라남도 화순군청,2019-10-08,4900000,전라남도 화순군
전남 기술 과학고 화동관옆,전라남도 화순군 화순읍 실고길 44,전라남도 화순군 화순읍 신기리 60,35.072487,126.993137,28,,휀스형,Y,N,,N,061-379-3632,전라남도 화순군청,2019-10-08,4900000,전라남도 화순군
큰재 주차장,전라남도 화순군 화순읍 큰재전원길 64,전라남도 화순군 화순읍 수만리 714-4,35.0869112,127.0047574,20,,휀스형,Y,N,,N,061-379-3632,전라남도 화순군청,2019-10-08,4900000,전라남도 화순군
만연산,전라남도 화순군 화순읍 수만리 산 165-15,전라남도 화순군 화순읍 수만리 산 165-15,35.08869000,126.998613,8,,단독형,Y,N,,N,061-379-3632,전라남도 화순군청,2019-10-08,4900000,전라남도 화순군
복지회관 앞,전라남도 화순군 남면 사호로 228,전라남도 화순군 남면 사평리 104-1,35.0067006527,127.0952139502,10,,단독형,Y,N,,N,061-379-3632,전라남도 화순군청,2019-10-08,4900000,전라남도 화순군
농공단지 앞,전라남도 화순군 동면 대포리 450,전라남도 화순군 동면 대포리 450,35.026365,127.017472,7,,단독형,Y,N,,N,061-379-3632,전라남도 화순군청,2019-10-08,4900000,전라남도 화순군
농협 창고앞,전라남도 화순군 동면 장동리 900-6,전라남도 화순군 동면 장동리 900-6,35.029997,127.037694,10,,단독형,Y,N,,N,061-379-3632,전라남도 화순군청,2019-10-08,4900000,전라남도 화순군
서성리 입구,전라남도 화순군 동면 백용리 145,전라남도 화순군 동면 백용리 145,35.034738,127.016792,10,,단독형,Y,N,,N,061-379-3632,전라남도 화순군청,2019-10-08,4900000,전라남도 화순군
한천면 영외 출장소,전라남도 화순군 한천면 외남로 437,전라남도 화순군 한천면 동가리 30,34.9737082017,127.0715482732,10,,단독형,Y,N,,N,061-379-3632,전라남도 화순군청,2019-10-08,4900000,전라남도 화순군
능주고등학교,전라남도 화순군 능주면 죽수길 31-3,전라남도 화순군 능주면 잠정리 106,34.986504,126.959253,10,,단독형,Y,N,,N,061-379-3632,전라남도 화순군청,2019-10-08,4900000,전라남도 화순군
능주중학교,전라남도 화순군 능주면 죽수길 31-2,전라남도 화순군 능주면 잠정리 106,34.985429,126.958187,10,,단독형,Y,N,,N,061-379-3632,전라남도 화순군청,2019-10-08,4900000,전라남도 화순군
도곡중학교,전라남도 화순군 도곡면 천암1길 64,전라남도 화순군 도곡면 천암리 134,35.013195,126.910225,30,,휀스형,Y,N,,N,061-379-3632,전라남도 화순군청,2019-10-08,4900000,전라남도 화순군
신도중학교~신도고등학교 사이,부산광역시 해운대구 좌동순환로 50 (좌동),부산광역시 해운대구 좌동 1345,35.17058554,129.1674389,28,,거치형,Y,N,,N,051-749-4512,부산광역시 해운대구청,2020-06-26,3330000,부산광역시 해운대구
상월곡역 2번출구,,서울특별시 성북구 월곡2동 23-156,37.607464,127.050302,19,,, ,N,,N,02-2241-3413,서울특별시 성북구청,2020-06-16,3070000,서울특별시 성북구
치평동주민센터앞,광주광역시 서구 상무공원로 62,,35.149964,126.8433332,10,,, ,Y,,N,062-350-4322,광주광역시 서구청,2019-02-28,3600000,광주광역시 서구
상무1동주민센터앞,광주광역시 서구 월드컵4강로197번길 20,,35.1537511,126.867425,10,,, ,Y,,N,062-350-4342,광주광역시 서구청,2019-02-28,3600000,광주광역시 서구
상무2동주민센터앞,광주광역시 서구 화정로85번길 17,,35.1465687,126.866449,10,,, ,Y,,N,062-350-4362,광주광역시 서구청,2019-02-28,3600000,광주광역시 서구
