업체명,사업장구분,소재지도로명주소,소재지지번주소,위도,경도,차고지도로명주소,차고지지번주소,보유차고지수용능력,자동차총보유대수,승용차보유대수,승합차보유대수,전기승용자동차보유대수,전기승합자동차보유대수,경차요금,소형차요금,중형차요금,대형차요금,승합차요금,레저용차요금,수입차요금,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,공휴일운영시작시각,공휴일운영종료시각,휴무일,홈페이지주소,대표자명,전화번호,데이터기준일자,제공기관코드,제공기관명
㈜비에스렌터카,주사업장,부산시 동래구 명륜로 43,,35.19807618,129.0839182,부산시 동래구 명륜로 43 외 2필지,,,108,102,6,0,0,,,,,,,,09:00,18:00,,,,,,,,02-2059-0204,2020-06-01,6260000,부산광역시
㈜카렌트,주사업장,"부산시 강서구 낙동북로 364, 2층(대저1동)",,35.21193991,128.9680876,부산시 강서구 녹산산업북로 119(송정동),,,74,66,8,0,0,,,,,,,,09:00,18:00,,,,,,,,051-555-9555,2020-06-01,6260000,부산광역시
신영렌트카㈜,주사업장,"부산시 남구 황령대로 401-8, 3층",,35.14495397,129.1012648,부산시 남구 황령대로 401-8,,,87,86,1,0,0,,,,,,,,09:00,18:00,,,,,,,,051-704-9748,2020-06-01,6260000,부산광역시
㈜뉴국제렌트카,주사업장,부산시 동래구 반송로 219(안락동),,35.20047654,129.0976112,,부산시 기장군 정관읍 병산리 421-1,,117,109,8,0,0,,,,,,,,09:00,18:00,,,,,,,,051-525-0001,2020-06-01,6260000,부산광역시
㈜렌고,주사업장,"부산시 북구 금곡대로303번길 80, 701호(화명동, 화명코아프라자)",,35.23614721,129.0093551,,울산시 울주군 웅촌면 은현리 735-2,,69,67,2,0,0,,,,,,,,09:00,18:00,,,,,,,,051-556-7744,2020-06-01,6260000,부산광역시
유카네트웍스㈜,주사업장,"부산시 강서구 미음산단5로41번길 71, 110호(글로벌테크비즈센터)",,35.16159354,128.8675487,,울산광역시 울주군 삼남면 신화리 24-3 외 10필지,,50,50,0,0,0,,,,,,,,09:00,18:00,,,,,,,,051-581-3002,2020-06-01,6260000,부산광역시
유니티렌터카,주사업장,"부산시 해운대구 센텀동로 57, 607호(우동)",,35.17398971,129.129398,,부산시 연제구 연산동 1310-4,,50,43,7,0,0,,,,,,,,09:00,18:00,,,,,,,,051-809-0002,2020-06-01,6260000,부산광역시
㈜응카,주사업장,,부산시 강서구 대저1동 361-68,35.2194025,128.9882555,"부산시 강서구 대저중앙로 393번길 56, 56-1, 56-2",,,62,62,0,0,0,,,,,,,,09:00,18:00,,,,,,,,051-980-2095,2020-06-01,6260000,부산광역시
㈜케이제이렌트카,주사업장,,부산시 금정구 남산동 993-17,35.26540083,129.0858594,,부산시 금정구 남산동 990-2,,71,66,5,0,0,,,,,,,,09:00,18:00,,,,,,,,000-0000-0000,2020-06-01,6260000,부산광역시
㈜신차로렌트카,주사업장,"부산시 부산진구 부전로 99, 미래빌딩 2층(부전동)",,35.15895455,129.0544985,부산시 사상구 모라로51번길 130,,,50,50,0,0,0,,,,,,,,09:00,18:00,,,,,,,,051-816-2230,2020-06-01,6260000,부산광역시
신화렌트카,주사업장,"서울특별시 양천구 목동동로 130, 상가B동 114호(신정동)","서울특별시 양천구 신정동 329, 목동신시가지아파트14단지 상가B동 114호",37.515001,126.871238,"서울특별시 중랑구 동일로 109길 35(면목동), 경상북도 경주시 사정로 1","서울특별시 광진구 구의동 253-53, 서울특별시 중랑구 면목동 183-14, 경기 고양시덕양구 행신동 813, 경상북도 경주시 사정동 471-8,9",,92,90,2,0,0,,,,,,,,09:00,20:00,09:00,20:00,,,,,최만종,1588-7458,2020-05-21,3140000,서울특별시 양천구
대주렌트카,주사업장,"서울특별시 양천구 국회대로 92, 201호(신월동,연안빌딩)","서울특별시 양천구 신월동 453-2,201호",37.526853,126.845247,"서울특별시 양천구 목동서로371, 서울특별시 양천구 국회대로92, 인천 부평구 경원대로 1428(부평동)","서울특별시 양천구 신월동 453-5, 인천광역시 부평구 부평동 182-3 노블렌스오피스텔",,67,64,3,0,0,,,,,,,,09:00,19:00,,,,,,,김영선,02-2603-7117,2020-05-21,3140000,서울특별시 양천구
서울지에스렌트카,주사업장,"서울특별시 양천구 등촌로 160,가동 1층1호(목동)","서울특별시 양천구 목동 657-16,가동 1층1호",37.544039,126.862417,서울특별시 강서구 공항대로81길 36,서울특별시 강서구 염창동 261,,51,42,9,0,0,,,,,,,,09:00,20:00,,,,,,,문갑장,02-2643-7939,2020-05-21,3140000,서울특별시 양천구
㈜인터파크렌터카,주사업장,제주특별자치도 제주시 용문로 88,,33.50344346,126.5051836,제주특별자치도 제주시 용문로 88,,,212,200,12,0,0,,,,,,,,07:45,20:00,,,,,,,,064-743-1515,2020-10-28,6500000,제주특별자치도
㈜아리랑,주사업장,제주특별자치도 제주시 용마서길 34,,33.51495689,126.5020656,제주특별자치도 제주시 용담3동 969-3,,,513,483,30,60,0,,,,,,,,07:45,20:00,,,,,,,,064-749-2139,2020-10-28,6500000,제주특별자치도
㈜제주아산렌트카,주사업장,제주특별자치도 제주시 연미길 44,,33.48978859,126.505795,제주특별자치도 제주시 오라3동 2853-1,,,173,167,6,20,0,,,,,,,,07:45,20:00,,,,,,,,064-743-9991,2020-10-28,6500000,제주특별자치도
한국렌트카㈜,주사업장,제주특별자치도 제주시 연미길 53,,33.48846761,126.5055314,제주특별자치도 제주시 연미길 53,,,238,233,5,1,0,,,,,,,,07:45,20:00,,,,,,,,064-748-5005,2020-10-28,6500000,제주특별자치도
㈜탐라,주사업장,제주특별자치도 제주시 공항로 5,,33.50481976,126.4967943,제주특별자치도 제주시 용담2동 593-6,,,598,559,39,66,0,,,,,,,,07:45,20:00,,,,,,,,064-742-3300,2020-10-28,6500000,제주특별자치도
㈜써니빌렌트카,주사업장,제주특별자치도 제주시 오광로 156,,33.48258006,126.4626136,제주특별자치도 제주시 노형동 3692,,,128,113,15,6,0,,,,,,,,07:45,20:00,,,,,,,,064-748-1600,2020-10-28,6500000,제주특별자치도
㈜용두암렌트카,주사업장,제주특별자치도 제주시 용해로 74,,33.5106694,126.5030804,제주특별자치도 제주시 용담2동 905-5,,,218,194,24,15,0,,,,,,,,07:45,20:00,,,,,,,,064-711-0388,2020-10-28,6500000,제주특별자치도
㈜장수렌트카,주사업장,제주특별자치도 제주시 월광로 154,,33.49187622,126.4741387,제주특별자치도 제주시 노형동 1235-1,,,100,84,16,0,0,,,,,,,,07:45,20:00,,,,,,,,064-746-8400,2020-10-28,6500000,제주특별자치도
(주)경일알씨,영업소,경상북도 영천시 최무선로 323,,35.96880195,128.9342883,경상북도 영천시 최무선로 323,,,2,2,0,0,0,,,,,,,,09:00,18:00,,,,,,,,054-332-2929,2020-06-26,5100000,경상북도 영천시
(주)새한글로벌,영업소,경상북도 영천시 담안3길 39,,35.96193766,128.9265529,경상북도 영천시 담안3길 39,,,14,13,1,0,0,,,,,,,,09:00,18:00,,,,,,,,054-333-8100,2020-06-26,5100000,경상북도 영천시
(주)인스렌터카,영업소,경상북도 영천시 금호읍 고수골길 26,,35.95328529,128.9045546,경상북도 영천시 금호읍 고수골길 26,,,5,4,1,0,0,,,,,,,,09:00,18:00,,,,,,,,054-334-7799,2020-06-26,5100000,경상북도 영천시
엠알렌터카(주),영업소,경상북도 영천시 고경면 호국로 374,,35.97967885,128.9780999,경상북도 영천시 고경면 호국로 374,,,55,53,2,0,0,,,,,,,,09:00,18:00,,,,,,,,054-336-9080,2020-06-26,5100000,경상북도 영천시
(주)글로벌금오렌트카,영업소,경상북도 영천시 도들앞길 67-20,,35.94047013,128.925216,경상북도 영천시 도들앞길 67-20,,,18,13,5,0,0,,,,,,,,09:00,18:00,,,,,,,,054-337-5521,2020-06-26,5100000,경상북도 영천시
(주)극동오토렌탈,영업소,경상북도 영천시 금호읍 금호로 361,,35.9412341247,128.8985298775,경상북도 영천시 금호읍 금호로 361,,,13,12,1,0,0,,,,,,,,09:00,18:00,,,,,,,,054-331-4949,2020-06-26,5100000,경상북도 영천시
㈜진해군항렌트카,영업소,경상남도 거제시 장평로 69(장평동),,34.890994,128.609576,경상남도 거제시 사등면 지석2길 20,,,11,7,4,0,0,,,,,,,,09:00,21:00,,,,,,,,055-637-4112,2020-06-29,5370000,경상남도 거제시
롯데렌탈,영업소,경상남도 거제시 거제중앙로 1796(고현동),,34.879113,128.628134,경상남도 거제시 고현동 405-15,,,284,272,12,0,0,,,,,,,,09:00,20:00,,,,,,,,055-637-8009,2020-06-29,5370000,경상남도 거제시
㈜오케이렌트카,영업소,경상남도 거제시 장평3로2길 1(장평동),,34.88978744,128.609389,경상남도 거제시 장평동 1079-5,,,6,4,2,0,0,,,,,,,,08:30,19:00,,,,,,,,055-636-7877,2020-06-29,5370000,경상남도 거제시
에스케이렌트카㈜,영업소,"경상남도 거제시 거제대로 3736, 3층(옥포동)",,34.89019409,128.6904131,경상남도 거제시 연초면 송정5길 112-7,,,131,125,6,0,0,,,,,,,,08:00,19:30,,,,,,,,055-688-4615,2020-06-29,5370000,경상남도 거제시
㈜거제곰두리렌트카,주사업장,경상남도 거제시 연초면 효촌길 20,,34.903588,128.6474048,경상남도 거제시 연초면 효촌길 20,,,69,58,11,0,0,,,,,,,,07:00,18:00,,,,,,,,055-633-7030,2020-06-29,5370000,경상남도 거제시
㈜천마렌트카,주사업장,경상남도 거제시 연초면 송정5길 8,,34.91378221,128.6755571,경상남도 거제시 연초면 송정5길 2-6,,,199,195,4,0,0,,,,,,,,08:30,18:30,,,,,,,,055-636-1234,2020-06-29,5370000,경상남도 거제시
㈜우리렌트카,영업소,경상남도 거제시 연초면 오비4길 17,,34.91783498,128.619668,경상남도 거제시 연초면 오비리 165,,,0,0,0,0,0,,,,,,,,07:30,18:00,,,,,,,,055-633-4742,2020-06-29,5370000,경상남도 거제시
(유)케이엠렌트카,영업소,경상남도 거제시 연초면 방곡길 3,,34.91056164,128.6617369,경상남도 거제시 둔덕면 학산3길 61,,,0,0,0,0,0,,,,,,,,09:00,18:00,,,,,,,,055-632-8214,2020-06-29,5370000,경상남도 거제시
㈜건일렌트카,영업소,"경상남도 거제시 옥포성안로4길28-1,101호(옥포동,한아름빌)",,34.89265778,128.6970354,경상남도 거제시 연초면 연하해안로37,,,12,12,0,0,0,,,,,,,,00:00,23:59,,,,,,,,055-633-0326,2020-06-29,5370000,경상남도 거제시
㈜쏘카,영업소,,경상남도 거제시 고현동 82-5,34.885751,128.625631,경상남도 거제시 고현동 82-5번지,,,34,34,0,0,0,,,,,,,,00:00,23:59,,,,,,,,055-633-8865,2020-06-29,5370000,경상남도 거제시
영일산업㈜,영업소,경상남도 거제시 고현로 14길 59(고현동),,34.88361206,128.6291084,경상남도 거제시 고현로 14길 59(고현동),,,2,2,0,0,0,,,,,,,,09:00,21:00,,,,,,,,055-633-0316,2020-06-29,5370000,경상남도 거제시
서경렌트카,영업소,경상남도 거제시 문동5길 6,,34.86463382,128.6495013,경상남도 거제시 문동5길 6,,,15,15,0,0,0,,,,,,,,09:00,21:00,,,,,,,,055-638-5579,2020-06-29,5370000,경상남도 거제시
금마렌터카,영업소,경기도 연천군 전곡읍 평화로 497,,38.01485206,127.0693779,경기도 연천군 전곡읍 전곡리 233-16,,,16,14,2,0,0,,,,,,,,10:00,18:00,,,,,,,,031-902-7858,2020-05-26,3940000,경기도 고양시
금마렌터카,영업소,경기도 동두천시 중앙로 245,,37.9035259,127.0533182,경기도 동두천시 생연2동 687-56,,,14,13,1,0,0,,,,,,,,10:00,18:00,,,,,,,,031-902-7858,2020-05-26,3940000,경기도 고양시
금마렌터카,영업소,"경기도 부천시 여월로 60, 4층",,37.51102215,126.8055485,경기도 부천시 중동로254번길 90,,,23,23,0,0,0,,,,,,,,10:00,18:00,,,,,,,,031-902-7858,2020-05-26,3940000,경기도 고양시
금마렌터카,영업소,경기도 용인시 처인구 경안천로 2-1,,37.233564,127.2114567,경기도 용인시 처인구 경안천로 2-1,,,10,9,1,0,0,,,,,,,,10:00,18:00,,,,,,,,031-902-7858,2020-05-26,3940000,경기도 고양시
골드타워,주사업장,"경기도 고양시 일산서구 탄중로 114-2, 1층",,37.6916242,126.7577715,"경기도 고양시 일산서구 탄중로 114-2, 1층 외 5곳",,,342,308,34,0,0,,,,,,,,09:00,20:00,,,,,,,,031-968-5544,2020-05-26,3940000,경기도 고양시
골드타워,영업소,"충청남도 천안시 서북구 두정상가5길 2, 108호",,36.83009866,127.1436038,"충청남도 천안시 서북구 성정중4길 39-3, 크라운타워 5층",,,5,5,0,0,0,,,,,,,,09:00,20:00,,,,,,,,031-968-5544,2020-05-26,3940000,경기도 고양시
케이 카 렌탈,주사업장,"경기도 고양시 일산서구 탄중로 114-2, 1층",,37.6916242,126.7577715,경기도 고양시 일산동구 고봉로770번길 240 외 1곳,,,33,28,5,0,0,,,,,,,,09:00,20:00,,,,,,,,070-4247-4111,2020-05-26,3940000,경기도 고양시
케이 카 렌탈,영업소,"경기도 파주시 새꽃로 197, 1층",,37.7655274,126.7743538,경기도 파주시 법원읍 웅담리 270-3 외 1곳,,,82,78,4,0,0,,,,,,,,09:00,20:00,,,,,,,,070-4247-4111,2020-05-26,3940000,경기도 고양시
케이 카 렌탈,영업소,경기도 평택시 팽성읍 안정순환로 129,,36.95962626,127.0416849,경기도 평택시 팽성읍 안정순환로 129,,,0,0,0,0,0,,,,,,,,09:00,20:00,,,,,,,,070-4247-4111,2020-05-26,3940000,경기도 고양시
나인렌터카,주사업장,"경기도 고양시 일산동구 백마로 195, 2163호",,37.65428629,126.770983,경기도 파주시 책향기로 423(두손비채 주차타워),,,136,132,4,0,0,,,,,,,,09:00,18:00,,,,,,,,031-907-7797,2020-05-26,3940000,경기도 고양시
나인렌터카,영업소,경기도 고양시 일산동구 애니골길 136,,37.67820781,126.7937079,경기도 파주시 책향기로 423(두손비채 주차타워),,,20,20,0,0,0,,,,,,,,09:00,18:00,,,,,,,,031-907-7797,2020-05-26,3940000,경기도 고양시
