title,path,paths,call,date
청수장여관,전라북도 정읍시 태평2길 23-4 (시기동),전라북도 정읍시 시기동 263-2,063-535-2015,2021-01-15
명동장,전라북도 정읍시 중앙2길 28 (수성동),전라북도 정읍시 수성동 574-7,063-532-2196,2021-01-15
성일장여관,전라북도 정읍시 우암로 32-14 (수성동),전라북도 정읍시 수성동 738-3,063-535-4161,2021-01-15
유성여인숙,전라북도 정읍시 명덕로 36 (연지동),전라북도 정읍시 연지동 337-10,063-532-3963,2021-01-15
강남여인숙,전라북도 정읍시 명덕로 35-1 (연지동),전라북도 정읍시 연지동 335-4,,2021-01-15
매일여인숙,전라북도 정읍시 연지시장1길 65 (연지동),전라북도 정읍시 연지동 31-1,063-531-7393,2021-01-15
리베라모텔,전라북도 정읍시 내장산로 941-3 (내장동),전라북도 정읍시 내장동 46-9,063-538-5656,2021-01-15
한일장모텔,전라북도 정읍시 내장산로 941-13 (내장동),전라북도 정읍시 내장동 46-36,063-538-8981,2021-01-15
거북이여인숙,전라북도 정읍시 연지시장1길 27 (연지동),전라북도 정읍시 연지동 323-1,063-536-5040,2021-01-15
동남여인숙,전라북도 정읍시 명덕로 38 (연지동),전라북도 정읍시 연지동 337-9,063-536-5731,2021-01-15
현대파크장,전라북도 정읍시 중앙로 23-1 (연지동),전라북도 정읍시 연지동 315-11,063-535-0170,2021-01-15
초원여인숙,전라북도 정읍시 연지8길 8-5 (연지동),전라북도 정읍시 연지동 310-13,063-531-6682,2021-01-15
세르빌호텔,전라북도 정읍시 내장산로 937 (내장동),전라북도 정읍시 내장동 46-13,063-538-9487,2021-01-15
프린스모텔,전라북도 정읍시 내장산로 915-8 (내장동),전라북도 정읍시 내장동 46-27,063-538-8075,2021-01-15
초이스모텔,전라북도 정읍시 우암로 20-10 (시기동),전라북도 정읍시 시기동 325-1,063-537-7677,2021-01-15
월드파크장,전라북도 정읍시 중앙2길 13-2 (수성동),전라북도 정읍시 수성동 585,063-531-4812,2021-01-15
목화장여관,전라북도 정읍시 충정로 295-1 (연지동),전라북도 정읍시 연지동 39-46,063-532-4463,2021-01-15
큐모텔,전라북도 정읍시 명덕로 59-2 (연지동),전라북도 정읍시 연지동 328-8,063-531-0234,2021-01-15
코아장여관,전라북도 정읍시 명덕로 38-1 (연지동),전라북도 정읍시 연지동 337-7,063-533-3884,2021-01-15
대성파크장,전라북도 정읍시 명륜길 9-7 (수성동),전라북도 정읍시 수성동 525-46,063-537-2414,2021-01-15
만월파크모텔,전라북도 정읍시 서성길 14-5 (수성동),전라북도 정읍시 수성동 524-11,063-532-7101,2021-01-15
리베라장,전라북도 정읍시 중앙2길 16 (수성동),전라북도 정읍시 수성동 582-3,063-533-4290,2021-01-15
첼로,전라북도 정읍시 연지시장2길 26 (연지동),전라북도 정읍시 연지동 322-13,063-533-0658,2021-01-15
스카이모텔,전라북도 정읍시 명덕로 50 (연지동),전라북도 정읍시 연지동 319-6,063-537-3074,2021-01-15
88여인숙,전라북도 정읍시 연지시장1길 62-9 (연지동),전라북도 정읍시 연지동 31-1,063-531-3251,2021-01-15
우주여인숙,전라북도 정읍시 연지시장1길 62-7 (연지동),전라북도 정읍시 연지동 31-1,063-532-2643,2021-01-15
대화장여관,전라북도 정읍시 명륜길 37-1 (연지동),전라북도 정읍시 연지동 61-10,063-535-3383,2021-01-15
황금장여관,전라북도 정읍시 서부로 51 (연지동),전라북도 정읍시 연지동 44-52,063-531-8195,2021-01-15
금성장여관,전라북도 정읍시 서부로 49 (연지동),전라북도 정읍시 연지동 44-64,,2021-01-15
한일여인숙,전라북도 정읍시 연지시장1길 62-13 (연지동),전라북도 정읍시 연지동 31-1,063-531-9993,2021-01-15
햇살모텔,전라북도 정읍시 추령로 2189 (내장동),전라북도 정읍시 내장동 39-11,063-538-9755,2021-01-15
부산여인숙,전라북도 정읍시 연지시장1길 3 (연지동),전라북도 정읍시 연지동 319-1,,2021-01-15
금오호텔,전라북도 정읍시 중앙3길 11 (수성동),전라북도 정읍시 수성동 707-5,063-532-8881,2021-01-15
H 호텔,전라북도 정읍시 중앙로 199 (시기동),전라북도 정읍시 시기동 570,063-537-2222,2021-01-15
원앙파크장,전라북도 정읍시 서성길 8-8 (수성동),전라북도 정읍시 수성동 525-42,063-531-4010,2021-01-15
청운파크장,전라북도 정읍시 명덕로 37 (연지동),전라북도 정읍시 연지동 335-3,063-532-7217,2021-01-15
이화장,전라북도 정읍시 중앙2길 11 (수성동),전라북도 정읍시 수성동 583-1,063-532-0020,2021-01-15
그린모텔,전라북도 정읍시 명덕로 65-5 (연지동),전라북도 정읍시 연지동 327-24,063-536-1802,2021-01-15
아쿠아사우나모텔,전라북도 정읍시 명덕로 65-11 (연지동),전라북도 정읍시 연지동 350-14,063-533-3855,2021-01-15
