업태,업  소  명,소   재   지,주요 취급품목,전화번호,데이터 기준일자
한식,궁뜰,전라북도 정읍시 북면 외야길 94-4,보리굴비한정식,063-536-1150,2021-01-15
한식,정읍한우,전라북도 정읍시 북면 화평길 2,소고기,063-537-6492,2021-01-15
한식,산외용두머리식당,전라북도 정읍시 산외면 산외로 445-2,소고기,063-537-5055,2021-01-15
한식,외식일번가,전라북도 정읍시 상동중앙로 78,"한우구이, 한우갈비탕",063-534-4466,2021-01-15
한식,오명자손수제비,전라북도 정읍시 수성택지1길 2,"손수제비, 닭한마리칼국수",063-533-6767,2021-01-15
한식,개성집,전라북도 정읍시 수성택지1길 35,"명.문어, 명.시래기, 명.갈비",063-533-9922,2021-01-15
한식,모전,전라북도 정읍시 중앙로 212 (상동),"새우, 해물생국수, 애호박찌개",063-537-3636,2021-01-15
한식,두리맛감자탕정읍점,전라북도 정읍시 중앙로 250 (상동),"감자탕, 해물뼈찜",063-538-3838,2021-01-15
한식,생고기제작소,전라북도 정읍시 충정로 145-1 (상동),"소고기무한리필, 돼지고기무한리필",063-532-9283,2021-01-15
한식,연잎숯불갈비,전라북도 정읍시 관통로 51 (상동),"연잎갈비, 삼겹살, 한우세트",063-532-8508,2021-01-15
한식,철판위에닭갈비,전라북도 정읍시 남북로 24-9 (시기동),닭갈비,063-533-9960,2021-01-15
한식,순정축협한우명품관,전라북도 정읍시 내장산로 14 (송산동),"스페셜구이, 모듬구이",063-538-9400,2021-01-15
한식,화덕갈비,전라북도 정읍시 내장산로 145 (금붕동),"돼지갈비, LA갈비",063-533-1200,2021-01-15
한식,산골냉면전문점,전라북도 정읍시 내장산로 16-8 (송산동),냉면,063-535-6265,2021-01-15
한식,한국관,전라북도 정읍시 내장산로 920,"산채정식, 산채비빔밥",063-538-7790,2021-01-15
한식,삼일회관,전라북도 정읍시 내장산로 928,"산채정식, 산채비빔밥",063-538-8131,2021-01-15
한식,내장산명인관,전라북도 정읍시 내장산로 941-13,"산채정식, 귀리떡갈비",063-538-8981,2021-01-15
한식,토지,전라북도 정읍시 마곡로 110-12 (수성동),한정식,063-531-6700,2021-01-15
한식,쌈촌정읍점,전라북도 정읍시 명덕1길 71 (농소동),"한우샤브, 떡갈비",063-534-7800,2021-01-15
한식,정읍맷돌순두부,전라북도 정읍시 명덕로 10 (연지동),"순두부찌개, 두부전골",063-535-1331,2021-01-15
한식,옥돌생고기,전라북도 정읍시 명륜길 15-7 (수성동),"귀리떡갈비, 토시살",063-536-1020,2021-01-15
한식,정읍녹두장군(하행)휴게소한식당,전라북도 정읍시 북면 정신로 135-61,녹두장군오리탕,063-532-0510,2021-01-15
중식,성원궁,전라북도 정읍시 북면 정읍북로 632,"짬짜장, 삼선짬뽕",063-535-4848,2021-01-15
한식,금거북,전라북도 정읍시 북면 정읍북로 665,생선정식,063-536-3456,2021-01-15
한식,나성산장,전라북도 정읍시 북면 칠북로 196-8,"칼국수, 토종닭",063-533-9292,2021-01-15
한식,정읍녹두장군(상행)휴게소,전라북도 정읍시 북면 하북1길 227-23,"산채비빔밥, 순두부찌개",063-532-2373,2021-01-15
한식,씨아전복,전라북도 정읍시 상사2길 30 (상동),전복,063-535-1196,2021-01-15
한식,칠보산오리,전라북도 정읍시 상사3길 31 (상동),"버섯로스, 훈제",063-536-5289,2021-01-15
한식,새암정한우,전라북도 정읍시 새암길 13-5 (수성동),"장어정식, 갈비탕",063-533-6688,2021-01-15
일식,다리야,전라북도 정읍시 새암길 13-6 (수성동),"사시미정식, 우럭탕",063-532-1331,2021-01-15
중식,모란,전라북도 정읍시 샘골로 135 (수성동),"탕수육, 고추짬뽕",063-535-9888,2021-01-15
뷔페,하나로뷔페,전라북도 정읍시 서부산업도로 289 (연지동),뷔페,063-538-1144,2021-01-15
한식,아양촌해물칼국수,전라북도 정읍시 송산1길 25 (시기동),해물칼국수,063-532-3828,2021-01-15
일식,선참치,전라북도 정읍시 수성1로 56-13,"참치, 초밥, 우럭탕",063-533-3788,2021-01-15
한식,대관령양푼이동태찌개,전라북도 정읍시 수성1로 62,동태찌개,063-533-8090,2021-01-15
한식,꽃마름월남쌈샤브&스시샐러드바,전라북도 정읍시 수성4로 41-11,"월남쌈, 스시",063-535-8886,2021-01-15
한식,신가네정읍국밥,전라북도 정읍시 수성5로 17,국밥,063-531-6610,2021-01-15
한식,오유민동태마을(정읍점),전라북도 정읍시 수성로 28-1,"동태탕, 소고기버섯전골",063-533-8883,2021-01-15
한식,청주본가왕갈비탕정읍점,전라북도 정읍시 수성로 37,"왕갈비탕, 갈비부대전골",063-532-0090,2021-01-15
한식,춘향골,전라북도 정읍시 수성로 97,추어탕,063-532-5011,2021-01-15
한식,명성쌈밥,전라북도 정읍시 수성택지1길 13-16,"오리주물럭, 쌈밥정식",063-533-3404,2021-01-15
양식,레스토랑마리서사본점,전라북도 정읍시 수성택지4길 20-12,"생채볶음밥, 이돈",063-538-6781,2021-01-15
한식,원할머니보쌈족발수성점,전라북도 정읍시 수성택지5길 24-3,"보쌈, 족발",063-533-0339,2021-01-15
일식,청해횟집수산,전라북도 정읍시 수성택지5길 26,"초밥, 회전문",063-531-5908,2021-01-15
한식,장군숯불갈비,전라북도 정읍시 수성택지7길 16-10,"양념갈비, 삼겹살",063-532-6128,2021-01-15
한식,조선별관,전라북도 정읍시 수성택지7길 16-13,"매운갈비, 오리해물한방",063-538-9366,2021-01-15
한식,별미해물마을,전라북도 정읍시 수성택지7길 16-20,"해물찜, 해물탕",063-531-3355,2021-01-15
한식,자양식당,전라북도 정읍시 수성택지7길 24-16,"황태구이정식, 황태찜",063-531-0611,2021-01-15
한식,단풍미인한우,전라북도 정읍시 수성택지7길 5,"전골, 구이, 갈비탕",063-534-1000,2021-01-15
양식,달테이블정읍점,전라북도 정읍시 신경2길 28 2층 201호 (상동),"직화쭈꾸미, 파스타",063-534-3369,2021-01-15
한식,만나숯불갈비,전라북도 정읍시 신태인읍 석지로 818,"돼지갈비, 삼겹",063-571-8892,2021-01-15
한식,입암성원식당,전라북도 정읍시 입암면 정읍남로 759,"가정식백반, 오리주물럭",063-534-5628,2021-01-15
