관서명,구분,살인,강도,강간·강제추행,절도,폭력
광주지방경찰청,발생건수,0,0,0,0,0
광주지방경찰청,검거건수,0,0,85,0,14
광주지방경찰청,검거인원,0,0,118,0,27
광주지방경찰청,구속,0,0,11,0,13
광주지방경찰청,불구속,0,0,59,0,8
광주지방경찰청,기타,0,0,48,0,6
광주동부경찰서,발생건수,3,4,76,602,972
광주동부경찰서,검거건수,3,4,68,330,859
광주동부경찰서,검거인원,2,12,70,355,1350
광주동부경찰서,구속,2,5,2,9,14
광주동부경찰서,불구속,0,6,54,284,770
광주동부경찰서,기타,0,1,14,62,566
광주서부경찰서,발생건수,4,4,198,1190,2253
광주서부경찰서,검거건수,4,4,188,750,2067
광주서부경찰서,검거인원,7,4,212,730,2829
광주서부경찰서,구속,3,4,6,22,31
광주서부경찰서,불구속,0,0,117,586,1242
광주서부경찰서,기타,4,0,89,122,1556
광주남부경찰서,발생건수,1,1,60,611,1014
광주남부경찰서,검거건수,0,1,51,429,889
광주남부경찰서,검거인원,0,1,58,300,1200
광주남부경찰서,구속,0,0,5,6,3
광주남부경찰서,불구속,0,1,40,193,596
광주남부경찰서,기타,0,0,13,101,601
광주북부경찰서,발생건수,6,15,194,1438,2326
광주북부경찰서,검거건수,7,15,170,1037,2170
광주북부경찰서,검거인원,10,38,196,807,3066
광주북부경찰서,구속,7,14,15,35,14
광주북부경찰서,불구속,0,24,117,607,1603
광주북부경찰서,기타,3,0,64,165,1449
광주광산경찰서,발생건수,2,4,140,1081,2114
광주광산경찰서,검거건수,2,4,122,744,1970
광주광산경찰서,검거인원,4,5,145,659,2691
광주광산경찰서,구속,4,2,8,24,9
광주광산경찰서,불구속,0,3,91,536,1265
광주광산경찰서,기타,0,0,46,99,1417
